No,message,score,socre2
1453,危房不让改造 高书记你好：我是钟楼区闫庄村村民，因老房子老旧已成危房，下雨天屋里边漏的厉害，裂缝多，无法居住。因此才把老房子拆了想翻新一下，现在地基挖了准备回填了，但说是政府把村口路口给封了，不让进料。。我想不通国家哪条法律不让翻新危房，至全家无法居住，请政府调查实际情况，解决我的问题。急盼。,6,4.5
1454,供电所所长醉酒驾车撞伤人逃逸 尊敬的陈县长您好：我是滑县瓦岗寨乡大范庄村民李建全（村舞蹈队负责人），2017年10月27日（农历九月初八）星期五下午两点多，我和村舞蹈队部分队员乘坐两辆电动三轮车去梦四村参加乡文化站组织的舞蹈活动，途中与小轿车发生车祸，被撞三轮车上所有队员全部受伤。现场目击证人说小轿车驾驶员酒驾，小轿车驾驶员为瓦岗寨乡供电所所长张定坤，事发后，张所长不采取急救措施，而是弃车逃逸。此次交通事故交警队认定小轿车负全部责任（事故后现场照片、视频及交通事故认定书都有保存）。后经了解，肇事车辆司机张所长于当天中午在其同事家中喝酒，在明知自己饮酒后驾驶机动车上路，造成多人受伤及车辆受损。此事已过七个多月，受伤人员陆续出院。出院后张所长对部分伤员不管不问。张所长身为国家党员干部，发生事故后不顾他人生命危险弃车逃逸，在工作期间饮酒并醉酒，违反纪律，其行为造成的后果有损党和政府形象，盼望陈县长为此次事故中受伤人员做主，严查此事，对当事人进行严厉惩治，消除在社会上的造成的负面影响。,6.5,5
1455,过年回老家蚌埠 今年过年回蚌埠遇到的两件感觉非常不合理的事，都和行政区域的划分有关。以前是属于怀远县涂山风景区管辖，现在是直属于蚌埠市禹会区涂山风景区管辖。问题就出在，现在属于蚌埠直管了。下面我就细说说这两件事第一件事，一家人在宁波务工，逢年过节出行不方便，早都有买车的计划。同事、朋友都劝我在宁波本地买，但我想着为家乡做点贡献，尽我的些许微薄之力，特地等到今年过年回蚌埠买了一辆车。到了4S店把车款交了，提车交税，因为离怀远县税务局近就到怀远县交了，到这里还没问题。然后上牌，问题就来了，到怀远县车管所上牌，怀远县车管所工作人员一看资料说这车在怀远县不给上牌，要到蚌埠市去上牌，当时懵了，税可以在怀远县交，到上牌的时候怀远县不给上，然后又开车沿着东海大道走到尽头的那个蚌埠市车管所上牌，跑了很远。给我的感觉，打个比方就是给你钱，你接的很勤快，让你干点事就不行了，政府部门是怎么操作的我不知道，也不想知道，我只知道这样办事效率真低，也就是政府部门，老百姓不能选择，如果是市场企业这样办事早都倒了，而且怀远县不是属于蚌埠市管辖吗？现在政府实行县管市了？第二件事，接着上面，坎坎坷坷总算上完牌了，我开车带着一家人走亲戚，经过307省道怀远至蒙城收费站，看到前面皖C车牌的车，直接过了怀远县收费站卡口。到我的时候，收费员跟我说看下行驶证，说蚌埠市的车收费，怀远县的车不收费，我说为什么，他说蚌埠市的有钱，我就无语了，以前我也属于怀远县直接管辖，现在换了个蚌埠市直接管辖我就有钱了？有钱我们一家也不会去外地打工了！！！当时我们一家人很不解，都是皖C车牌，收费还分怀远县、蚌埠市的车？怀远县不是属于蚌埠市管辖吗？我妈说，早知道现在划到蚌埠市直接管辖办点事情都这么麻烦，还不如当初属于怀远县管辖呢，我只能笑笑。而且我妈还跟我说，她和爸爸结婚的时候这个307省道怀远至蒙城收费站就存在了，我记得我爸妈是1990年结婚的，也就是说这个收费站存在了将近30年，有可能年份更久！！！简单总结一下。第一件事，上牌划分的过份清楚，县属市管，在县不能上牌，只能到市上牌，我一个人多跑了五十公里没关系，但是我想肯定不止我一个，精力、时间、金钱等等这是多大的浪费！！！第二件事，307省道怀远至蒙城收费站，蚌埠市车收费，怀远县车不收费。这只是目前我遇到的两件事。现在我还没结婚，不知道其他的医疗，教育等其他事也是这样。,7.5,7
1456,请求林书记帮助台湾同胞 尊敬的林书记！您好，我是一名台胞，是一名建筑设计师，退休后一直致力于中华传统文化的工作。2012年，四川省凉山州冕宁县后山乡政府和桃园村村委会以招商引资的名义与我签订《土地流转协议》。并且我在林业部门合法取得了《林权证》。总共流转10亩荒坡地总价15万元。2012年10月30日，地方政府向我出具盖有后山乡政府公章的建设《承诺书》，并同意我先行动工建设传统文化教育的公益场所700平米，相关手续则由桃园村和后山乡政府办理。并承诺，若未办理好用地手续或国土部门阻止，由后山乡政府和桃园村村委会出面协调，所造成损失桃园村负责。乡政府为此盖公章予以证明。在此情况下，我方才安心从台湾来到大陆动工建设，但后山乡政府和桃园村村委会并未按照《承诺书》，为我办理相关建设手续！乡政府换届之后，对此前的承诺进行推诿。2014年6月，乡政府让我自行去冕宁县国土部门办理土地建设手续，国土部门让乡政府予以配合完善手续，但乡政府拒绝配合，直接导致建设手续至今未办理完成。同时我在县级信访部门寻求帮助无果，既不出具受理通知，也不告知信访结果。从2012年被当地政府以招商引资的名义欺骗到这里。我个人前后投入了自己将近300多万的积蓄用于公益场所的建设，其目的无非就是想在自己有生之年（我今年已经快70岁了）通过自己的努力，为祖国的中华传统文化尽一份绵薄之力。从2012年至今，冕宁县各级政府相关领导，在对此事知情的情况下也不作为、乱作为。目前，县政府林业部门以国家政策不允许为由要对我所建房屋进行拆除并处以罚款。我的房屋总建筑面积仅约400平米，但处罚采量高达8.16亩，并且是顶格处罚，金额高达16万，造成今天的局面和结果，从客观事实上，完全是冕宁县后山乡政府和桃园村村委会以及相关部门八年来不作为乱作为造成的结果。让我蒙受了巨额的经济损失。同样为民服务的政府，前后不一样的态度，作为一名台湾同胞，我个人权益受到极大的侵害。来到祖国大陆冕宁县后山乡这八年的遭遇和感受可谓是痛心至极，本着复兴中华文化的热忱，我倾尽自己的心血、精力和积蓄，却陷入这样的处境。我希望林书记及相关领导能够切实体察我们台胞在凉山州的困难，了解查实实际情况，为我办理房屋合法有效的建设手续。拜托书记先生，望尽快解决为盼！,8,5
1457,忘领给予帮助 本人孩子在孙台村希望小学就读，家庭贫困向改校申请两免一补，校长回复。该校没有住宿学生没有地保指标，校长说的情况属实吗？忘领导帮忙查一下，帮帮可怜的孩子们！,5,4.5
1458,长安区沣峪口210国道边松树嘴私设景点，违规 长安区沣峪口210国道边松树嘴私设景点，违规乱收停车费，黑恶霸道：本人于6月15日下午16点多前往沣峪口210国道游玩，抵达松树嘴观景台时，停车不到10分钟，收取10元停车费，期间有众多人员都认为其私自收停车费，且无发票，态度蛮横，有几名人员用弹弓暗射石子，组织游客游玩，态度极为蛮横霸道。,6,6
1459,居民楼下建加油加气站 我是哈尔滨市南岗区中海雍景熙岸小区居民，我们小区的居民楼都是34层高的建筑，地下还是几千米的地库。在7号楼和8号楼和12号楼下有块空地，哈尔滨市城乡规划局在2015年公示变更土地性质为加油加气站性质。,5.5,5.5
1460,眉山市东坡区望族1881小区乱收停车费 眉山市东坡区望族1881小区存在乱收停车费。1.小区物业未征得业主大会或者业主委员同意，擅自收取停车费，侵害业主合法权益。2.小区物业未公布停车费收取费用情况及标准，随意收费。3.小区收取停车费用未经物价部门批准，擅自确定收费标准，随意涨价。4.物业收费仅出具物业收据，未出具发票。恳请书记关注，大力整治眉山市东坡区物业收费乱象，维护群众利益；不让业主通过车辆堵门等过激方式争取利益。,7,4.5
1461,查询到社保卡一年前就办好，但现在都没有拿到。 市长打扰了，新的社保卡在天府市民云查询到9个月前就办好了，但是公司人事去了很多次社保局，找了9个月都没有拿到，旧卡马上停用了，新卡一直拿不到，到底去哪拿，求助！,3,5
1462,海城在水一方小区入住6年至今未办房产证 海城在水一方小区的开发商是本湲实华集团下属海城实华置业有限公司，该小区2012年入住至今6年仍未能办理房产证，期间曾多次答应业主办房产证，但总是说政府欠他钱，消防及电业不能验收，违建不能处理等理由无限期拖延，造成业主不能及获得政府购房税补约1-2万元每户，给业主造成损失。物业也是该公司指定，价格高服务不能满足需要，请书记考虑人民苦衷及时解忧，谢谢！,6,4.5
1463,乐都区锦绣水居臭气污染两年未改善 您好领导，自从搬到乐都区锦绣水居小区已经两年了。从2015年9月入住新居以来小区内就弥漫着一股强烈的化粪池的味道。后来这股味道一直沿着住户家里的下水管道弥漫在家里，外面风大的时候家里就像在化粪池里一样，气味严重影响着住户的正常生活。有许多住户选择了出门躲避，但这样的日子什么时候才是个头啊？后来住户们把这里的情况反映给物业之后物业也有所行动，就是把下水井用塑料包起来（见照片）。但所有人都知道下水井里出来的气体是沼气，如果不从根源上解决臭气的来源是没办法解决问题的，你可以堵住下水井，可以用弯管堵住上窜的气体，但这样长期下去，臭气不但得不到解决，大量的沼气被堵在地下是一件多么可怕的事情啊！（最近因为环保督察力度大，物业暂时用s弯管对下水管道做了处理，屋里的臭味少了不少，但小区周围从下水井泄露的化粪池里的恶臭味依然没有丝毫改变）两年时间他们为什么连这个问题都没有解决呢？因为这个小区的开发商和物业是同一个公司，所以不管是设计的问题还是物业的问题，他们都有着不可推卸的责任。而这种不考虑住户安全与环境的做法也是不道德的。住户们曾多次向物业、政府12345反映这个问题，但结局是两年的时间赶不走弥漫在空气中的腐败的化粪池的味道。我想借次平台向省长吐露一下平常老百姓的生活，试问，省府大院里如果到处弥漫着这种味道是不是照样能坚持两年？,7.5,7.5
1464,投诉寓龙物业 赵静波书记，您好！我是中兴街沈铁幸福里小区的一名普通业主。我之前给昌邑区书记留言。至今没给我回复。我要投诉寓龙物业的事情很简单。寓龙物业没有在街道备案。开发商不承认的情况下非法进入我们小区。寓龙物业进入我们小区不久，就非法安装梯控。电梯里什么标志都没有。我们小区出现了好几次滑梯事件。每次回家坐电梯电梯直晃悠。我家住在23楼，万一发生滑梯按别的楼层可以得到缓冲，安装梯控什么缓冲都没有了直接到底，这对我和我的家人生命安全造成非常严重威胁。我入住这个小区已经很长时间了。没有看见过有维修人员过来检查电梯。我们小区之前搞过投票。物业的保安过来抢东西砸椅子。跟黑社会差不多。书记我知道您很忙。我希望书记您有时间能看到我的留言能尽快解决我们小区期盼已久的梯控事件。谢谢您了！,6.5,4.5
1465,小区无物业 尊敬的书记您好，我是西夏区佳乐苑的业主，本校区自2018年至今已着火三次，找居委会说是小区属于无物业小区，没人管。但收费的时候就有人来收费，而且收费不透明，反应给居委会和社区更换正规物业公司，结果辖区领导也是一拖再拖。希望相关领导重视一下,6.5,4.5
1466,停水停电，夏天该怎么过？ 未央区六村堡街道周家堡村，连续两天停水了，村民的日常生活无法保证，早起上班停电停水，晚上下班回家继续停水，40度的高温，请问领导，我们该怎么生活,6,6
1467,北汴路能给予保护吗？ 北汴路修一回太难了，请市领导，各位领导珍惜这次来之不易的北汴路，请问是否需要保护这条路，是否设限高，限宽，象陶寨村那样，有限制高度，这样一来，减少修路次数，给交通局，给国家省点开支，要么路真被超载车压坏，还要在修路，那不是更难吗。,6,5.5
1468,鹿泉果岭湾房屋撤销抵押迟迟办不了 领导：你好！本人鹿泉区果岭湾小区的房子要卖，银行贷款已还清，以前到房管局办理撤销抵押，当时就办了，现在改不动产登记，到国土资源局办理，没给准确时间，只说让等。等到什么时候啊！我卖房等着用钱。改不动产登记是国家政策，我支持。可也得有个时间吧，总不能遥遥无期吧。不动产登记早就开始推行，为什么到鹿泉区这儿这么慢。市主城区如新华区挺快的。望领导督促一下，给个准确时间，越快越好。谢谢！,5.5,5.5
1469,向村委会反应情况村委不调查 尊敬的书记您好！我户因无安全住房向村委会，乡反应，可是就连最基本的请他们上门调查核实都不去调查。我户之前被纳入精准贫困，但后面不知道是什么原因被取消，现因贫困无安全住房，识别精准贫困的工作组也不去我户识别，这明显是对工作的不负责和悖逆，盼有关部门前往调查，实际为准，深谢,7,5
1470,民俗村银饰价格虚高，虚假宣传问题已解决 尊敬的领导，民俗村相关负责人已联系到我，说清了情况，并把购买银饰的费用全部打入我的银行卡，谢谢你们的办事效率。祝西藏旅游越来越好，西藏越来越好。,1,4
1471,您好 书记您好，我想咨询一下杨成庄乡双窑村什么时候能拆迁开发，因为可能会涉及到结婚盖房的问题，现在盖房还能给批宅基地吗？,2,5
1472,邢台桥东区世纪名都业主买房入住11年没证 我2007年买的世纪名都小区房子，住11年了，没房产证，买房时房屋维修基金和办证费5000多已交到河北金大地地产公司，有收据，2017年咱省下发关于解决房地产遗留问题的通知，但我们小区问题没得到解决，...现在是房产证没给办，购房合同原件也被房产公司收走了，金大地公司人员玩失踪，联系不上，老百姓心里苦，。。。。,6,4
1473,关于规划拆迁问题 尊敬的领导你们好，我是阜南县焦陂镇焦陂村村民，一直都有人说房屋快拆迁了...我想问一下焦陂街是否有建设古镇计划，是否要挖清河，拆迁房屋还原河道、拓宽河道的计划？,1.5,5
1474,惠农政策何时兑现？ 蓝书记，您好！我是海渊镇那才村百贵屯的养殖户。光我们屯就有百几头母猪，听说2011年中央的惠农政策继续实行每头母猪补贴100元，都登记了，可至今没见钱！是否被挪作他用了？,5,6
1475,出生证不给办理的问题 你好：我小孩去年在民权县东区人民医院剖腹产出生的，当时说没有出生证了，过几天电话通知，现在都快一年了，其中多次找院方，还是说没有出生证等电话。小孩无法上户口，请相关领导帮忙解决，在此感谢！,5.5,5
1476,沈阳龙湖天辰原著小区质量问题 本人是龙湖天宸原著的业主，该楼盘位于辽宁省沈阳市铁西经济技术开发区洪湖一街1号，开发商为：沈阳恒嘉置业有限公司。这个楼盘于2019年11月11日开始交房，很多业主发现房屋漏水，地热面积铺设不够等房屋质量问题，同时，还存在房屋建设与销售宣传不一致等多项问题。,6,6.5
1477,小区公共区域私设停车场，为哪般? 潍城区新天地购物城小区东北侧（1单元，2单元门前）区域被物业出租给众客隆商场作为内部停车场，私设门禁，停车位，地桩，作为小区的公共区域，物业擅自出租谋利，严重侵害业主利益。针对这个问题反映了两年之久，包括政府热线，媒体各级政府投诉渠道都有投诉，均未得到解决，你们担当何在工作落实的态度何在?望相关部门给予满意答复,8,6.5
1478,九寨沟旅游被导游骗到松潘县山巴乡元山子买假银 尊敬的刘作明书记，您好！2015年9月15日-17日随成都湖蓝国旅的导游到九寨沟旅游，第三天被导游杨玉珍（手机13709056377）带到松潘元山子说是去臧家做客，了解臧家风俗，并讲这个村子的银器是真的，若假可退并包来回路费。接待我们的是26号的女导游，她讲她们藏银可以刮痧祛风寒，并现场演示，但不让拍照，说那样是对他们不尊重，并说她们村买的银器达到4个9，很纯，是食用银，讲的句句是真话，臧家讲究6世轮回，她们的村子是5月份才对外开放的。我和我母亲一是为了健康，二也是想支持当地经济，买了2个银碗和4个银镯子，一共花了1804+1789+793+1097+718+553=6754元。后经查询，松潘元山子买的银器并不是导游吹嘘的那样。这只是藏银，根本没有其所说的效果，甚至对身体有害。我和我70多岁的母亲被骗了，本来购买这次旅游消费是通过携程网订的成都湖蓝国际旅行社，只是九寨沟3天的旅游费用共计1918元+88元的保险，到九寨沟欣赏那里的美景，旅游费用也不算低，但还是被骗了。九寨沟很美，但是被忽悠买了一堆这些东西，请您帮我们主持公道，现请领导给予协调退货还款，谢谢！,6.5,4.5
1479,咨询医保问题 我和妻子都在企业上班，两人均在企业缴纳医保，小孩2岁了了，我们3个在一个户口本，三人均是农村户口，请问小孩在农村缴纳医保，咨询了工作人员，说小孩要和大人一起交，我和妻子可不可以不交农村医保，不然我们就重复交钱了，谢谢！,3,5
1480,生态农业 书记，您好。我是一名即将大学毕业的大学生，学的是生物科学专业，我想毕业后后回家承包一些荒地搞生态农业，但是家庭经济和家人观念的影响有时候真的觉得是寸步艰难，所以我想了解一下，政府对于大学生回家农业创业有没有什么帮扶政策或其他的帮助？再加家庭的经济不是很好，我想申请有一位帮扶者能够给我指点迷津，减少不必要的弯路，不知可不可以？谢谢书记，谢谢政府！,3,4
1481,新房没有房产证怎么上学 尊敬的领导，您好！我是合肥市畅和家园的新住户，因为畅和家园2016年10月才分到，我家孩子明年升初中，请问畅和家园房产证没下来，能上畅和家园所属的中学的初中吗？,2,5
1482,购房补贴多久才能发放？ 我是2016年12月中旬申请的购房补贴，说3个月内发放，现在已经过去3个月了也没见发放，请问这正常吗？需要多久才能发啊？,3.5,5
1483,开发商不给办理房产证 最近的领导你好，自2014年买了明溪县建岗小区限价房以来，福建旭成开发有限公司一直不给业主办理房产证，请有关部门给与解决谢谢,5.5,5
1484,经适房 鼎新花园三期，政府惠民工程！群众入住一年多，还是临时用电，没有接入国家电网。请关注！,5.5,5.5
1485,用水谁来管 封丘县三里辛村因其供水设备坏了，致使很多居民百姓缺水将近一个月，给人民日常生活造成极大不便，希望领导给予解决,6,5
1486,胶北西庸村垃圾场附近村庄搬迁是真得吗？ 胶北街道办事处水牛村等七个村庄搬迁总费用测算情况的汇报为了解胶北街道办事处7个村庄搬迁资金需求，确保搬迁资金的测算准确性，胶北街道办事处委托金海洋评估公司对搬迁范围内的7个村庄（水牛村、逄家庄村、辛庄、西庸村、东庸村、南庸村、中庸村）进行了搬迁摸底调查、搬迁补偿资金测算，现将测算情况汇报如下。一、搬迁村庄基本情况1、村庄人口情况需搬迁村民3274户，8178人，其中60周岁以上1352人，16周岁-59周岁5367人，16周岁以下1459人。2、村庄住宅情况宅基地类住宅房屋3496栋，北正房14827间，其中平房3249栋，北正房13701间，二层楼房247栋，北正房1126间。辛庄村有单元式住宅楼8栋，共260户，建筑面积27300平方米，附房5460平方米。3、村庄土地情况7村庄共有土地8230亩，其中村庄住宅占地2575亩，企业占地918亩，农田4300亩。4、工业企业情况共有企业103户，集体土地上企业96户，占地745亩，建筑面积21万平方米；国有土地上企业7户，占地面积约174亩，建筑面积约3平方米。二、测算结果：根据制定的搬迁方案（讨论稿）补偿标准，经测算，7村庄搬迁共需货币资金70.4亿元。具体各村所需资金如下：（1）辛庄搬迁补偿总费用：4.29亿元；（2）水牛村搬迁补偿总费用10.05亿元；（3）逄家庄搬迁补偿总费用11.66亿元；（4）东庸村搬迁补偿总费用9.82亿元；（5）中庸村搬迁补偿总费用10.47亿元；（6）西庸村搬迁补偿总费用7.47亿元；（7）南庸村搬迁补偿总费用16.65亿元。三、分项测算如下：1、住宅测算：3496栋住宅，共14827间，共需要费用62.22亿元。（1）村庄宅基地住宅货币补偿金额：14827间×45㎡/间×（1+10%）×5800元/㎡×（1+10%）=468252万元；（2）村庄宅基地住宅其他补偿费用住宅的搬家费、临时过渡费、院内厢房评估费用、奖励费等其他补偿费用，共计61093万元；单元式多层楼补偿费用.（27300㎡+260套×10㎡/套）×（1+23%）×5800元/㎡×（1+10%）=23464万元；多层单元楼其他补偿费用搬家费、临时过渡费、装修评估费用、奖励费等其他补偿费用，,7,6
1487,民安北郡小区出口急需增加交通警示标识 希望解决北郡一期与三期西门口、二期东门口交通事故频发的问题惠济区北郡一期与三期的西门口（清华园路）与二期的东门口（金河路）交通事故频发。尤其是清华园路上电线杆较多，存在安全隐患，极易出现交通事故。因为这些路段未设置任何交通警示牌，加之经常有汽车停在门口，造成出入小区的车与直行车辆互相看不到，交通隐患很大，截止到现在已发生多次事故。听说政府已经在着手移除清华园路上的电线杆了，我们拍手称快，请落实一下信息，公示工期。我们希望相关部门在小区门口建设增添相应的交通警示标识（例如警示灯、网格线、斑马线等），同时加强治理门口汽车乱停放问题。2018-9-5,7.5,6
1488,关于城镇职工医疗保险 尊敬的陈市长，我问一下新生儿住院费为什么不能跟家长的城镇职工医疗保险来报销。谢谢您抽空看看。,4,4.5
1489,顺于路京沈路口红绿灯问题 顺于路与京沈路交汇处的红绿灯存在以下问题：东西向没有左转信号灯，南北向有，上班早高峰至少一半儿多的车要左转，每次都是拥堵严重，一个绿灯过不去几辆左转车，而且车辆抢行很容易发生交通事故。建议能不能在这个路口加个左转灯，或者早晚高峰时由西向东方向先变绿灯，之后由东向西方向再变绿灯！以上是我的一点儿不成熟的看法和建议，考虑不周之处请多包涵！,6,4.5
1490,廉租房住房租房补贴未通知被停发并被注销 市长好：我是辛x，我由于家暴于2015年1月和前夫办理离婚手续，当时是净身出户带一个在外省上大学的女儿。我所在单位于2009年就破产退出，至今一直靠打零工维持生活。我由于没有地方住于2016年初和女儿一起向有关部门提供相关材料，申请办理廉租房住房租房补贴。同年5月批件下来每月享受540元住房租房补贴。由于每月入不敷出，这补贴钱一直没敢取出，怕取出会花掉到时交不上房租。今年6月初我在南开区向阳路21号冒雨排了三天两夜于6月7日交上我的资料办理申请参加公租房摇号的材料，在6月13日被向阳路21号工作人员告知我廉租房住房租房补贴由于有疑似记录已被注销不符合参加摇号条件。我当时就傻了我等了那末久却是这样的消息。当时工作人员问我人员有没变化是否接到过电话或短信通知。我好差异，我根本没有接到任何通知，我孩子在学，我单身，信息一直没有任何变化，怎就被取消享受房补资格？我现在没有地方住，一切希望都寄托在这次公租房参加摇号。所以恳请市长能在白忙之中帮我过问此事为盼！谢谢市长！,6.5,4
1491,毒鸭养殖真害人 宁津县大柳镇郑庄村郑才坡的速成肉鸭一个多月出栏万只，该人只顾个人利益，不管他人死活在鸭料和饮水中大量添加激素和抗生素。在此棚养过鸭的一老汉。在一年多的时间全身药物感染过敏，全身白癜风了。老汉是张学武乡万庄村的。这样的肉鸭太恨人，和毒药没区别，该鸭棚建离在商业街20米一到夏天，蚊蝇成灾，臭气熏天，周边居民深受其害，鸭粪污水直接往河道排，严重污染周围环境和居民健康。多年没人管。句句属实，件件有实证。请领导调查严查。谢谢领导关心。,7,5.5
1492,读书咨询 你好，我想咨询下，在龙泉租房后办理居住证了，在龙泉小娃娃读小学需要提前准备哪些资料手续，谢谢,1,5
1493,为什么居住证要等半年 我到成都4年了，现在报驾校需要居住证，咨询派出所他们告诉我必须要到小区物业提交申请半年后才给办，为什么呢？我可以提供我的劳务合同和社保缴费明细，证明我确实在成都待了4年，我就不明白为什么一定要到小区物业提交申请，社保局交的社保都不能证明我在成都待了4年了，小区打个申请单就证明我待半年了？,6.5,6.5
1494,1月份工资问题 亲爱的袁书记你好我是一名普通的单位员工因为现在一月份了马上要过年了可以是我们1月份本该10-12号左右就发的但是因为这年要报个人税务上周11号单位已经把工资表送到财政局可是等了一个星期工资却迟迟没有到账本来我们这些小员工没有其他的收入来源又是刚结婚车贷房贷都需要还这一下子晚了这么多天想问下领导这到底是什么原因造成的我们工资迟迟发布下来,6,5.5
1495,拆迁问题 香河街道小莲村早已列如2018年计划，如今已渐入年底，不知今年是否安政府计划拆迁，或者另有什么安排，具体时间是什么时候，什么政策？,1,5
1496,兰州国资物业22佳园高价购买停车位 尊敬的袁占亭市长，您好，我是国资物业第二十二佳园的业主，现在小区共有车位150个，但物业却拿出100个车位以十五万左右的价格卖出去（物业崔经理给的说法是租出去了）。结果，现在不再给按月交停车费的业主办理出入手续，导致很多车主无法进入停车场停车。物业的说法是让我们找已经买到车位的人从他们手里再租车位。但价格比现在费用(180元)要高很多。这完全可以说是物业和一些无良业主(可能买到车位的人根本就不是小区业主，这是经济适用房，能一下子拿出几十万买几个车位做生意的，应该没几个人有这个能力)串通起来搜刮老百姓。另外，物业已经拿着车位进行对外生意了，包括租给外面做洗车生意的等等。请问，为什么不优先满足本小区居民的需求？我们买房子的时候，国资物业的人说车位是按月交停车费的，只字没提说花十几万买车位。国资物业是国家单位，我不知道其中的利益关系，为什么要纵容物业公司干这种事情，钱每个人都喜欢，但拿钱的方式总该合情合理合法吧！小区配套的停车位，自己住户却无法正常使用，谁能给我们一个说法？为什么这种嚣张跋扈的做法没有任何人监管？物业应该是为小区居民管理服务的，为什么到头来却变成了万恶的吸血鬼？希望能得到您的关注！谢谢您！,7.5,6
1497,对于重度残疾家庭的帮助民政部门是否能具体落实 我母亲是一名精神病患者，不幸的是于今年年初又查出了心脏衰竭，扩张型心肌病，光是一个月吃药的费用就要将近八九百加上检查费那就更多了，家里成员只有我和她，没办法，只好辞职在家照顾她，靠着一个月九百多的重残金过日子，希望民政部门能给予些帮助减轻此类残疾家庭的负担,2,3.5
1498,关于宁明县公积金问题 领导好，我想咨询一下宁明县提取公积金的问题，去申请提取公积金被告知回家慢慢等，问过了身边的人有说申请了几年还没得。因此我打了12329问公积金管理中心工作人员，人家告知5个工作日就可以批下来，请你不要回复我是因为政府补贴没有足额到位导致不能及时安排，我已经把领导留言板关于宁明县公积金的问题看过，2015年你们回复县财政欠缴我们的公积金补贴为4100.66万元，2018年欠缴增加到1.04亿，每个回复最后都有这句“宁明县管理部已发出要求补缴财政欠款部分的函”，你们已经发了几年的函，我想知道结果如何，落实了吗？望领导回复，谢谢！,6.5,5.5
1499,村书记贪污 书记您好，叶县田庄乡大张村村书记张X利用职务之便套取危房改造资金，请书记查实。,6.5,5.5
1500,置换户承担商铺公摊面积合不合理？ 2013年我与紫阳县城投公司签订了拆迁置换协议，协议中约定上铺商铺置换为等面积置换。如今商铺已修建好紫阳县城投公司却要求我在等面积置换的商铺内承担25%的公摊费用（每平方米13000人民币），紫阳县城投公司要求我在等面积置换中承担公摊合理不合理？他们的做法符不符合安康市城市房屋拆迁与补偿的相关规定？,6,6
1501,办理会员卡 我2018年3月办理皮肤管理卡10次1280元使用了3次中间有一年时间没去等再决定去店家要求加价210元说因一年时间人工费材料费涨价！我要求退卡店家说退卡就给我按一次298的价格退卡！但他们家次卡一次价格不是298（卡已经使用了三次）请领导帮我解决这个问题！不要让消费者被坑蒙拐骗,6,5
1502,拐河曹庄雨后受灾情况 尊敬的领导你好，我是拐河镇曹庄村村民，因近期雨水太多，导致我20亩花生6亩严重受灾，希望县里做出调查，毕竟这是农民一年的希望,6,4.5
1503,举报 书记您好我是沧州市新华区小赵庄乡吴官屯村村民我的房子被无故拆除了当时口头承诺给门市而如今又出尔反尔最多一万块的奖励奖励从何而来补偿怎么没有我也是三十多年的房子也是合法的私有财产,5,5.5
1504,党组织关系转接【急求解决办法】 我是一名正式党员，工作在高新中航城市广场，单位是一个私企，想把党组织关系转到单位所在的支部(桂溪街道办)，方便开展党组织生活和缴纳党费。但是那边工作人员说，需要我把档案转到高新人才中心并开证明，他们才接受党组组织关系。但是我的户口和档案都在武侯区人才中心，没法转移档案（高新政策，户口或单位注册地都在高新区，我二者都不满足）。请问现在应该怎么办，学校开的介绍信9月底就是最后截止日期了。现在国家政策不是要求党组织关系跟着工作做走吗，如果单位没有资格，就转到所在社区的支部。请问我现在该怎么办，才能顺利办理我的党组织关系？,5,5.5
1505,反映阜阳市建投集团办公楼顶LED灯光污染反映 尊敬的李省长，您好，我们是住在阜阳市淮河路建投集团新大楼旁边的居民，反映阜阳市建投集团办公楼顶建投集团四个大字LED灯光污染严重影响我们附近小区住户睡眠，建投集团四个大字的LED大灯夜里灯也不关，照的我们卧室里面如白昼，无法休息，另外也是一种对公共电力的浪费，请李省长帮助我们普通百姓，请求建投集团夜间关闭楼顶LED灯亮化工程，还我们普通百姓正常的休息和睡眠,5,5
1506,开封市顺河回族区张庄村无水吃 尊敬的领导您好:我是张庄村百姓，我们村长期停水无法做饭，多次向12345市长热线打电话求助无结果，我们村有一口深挖井，也是自来水但是就是不给老百姓用水为了节约开支，恳请领导来到我村调查实情，马上就要过春节了，一日三餐要做饭，在外打工的人都回来了，忘领导落实此事件给全村百姓一个温馨的家。恳请领导给全村百姓做主，再次感谢领导，进礼！,6,4
1507,2001年蒙城师范生当年有安排工作指标至今没 我是98年考入蒙城县师范学校普师班，当年教育局文件有毕业分配工作，但是2001年毕业当地政府因其他原因至今没有安排。,6,4.5
1508,2020年医疗保险事宜 领导你好，请问彭州市2020年的医疗保险第二次扣款是什么时间,2,5
1509,拆迁 尊敬的领导您好：我是东坡区松江镇中坝村5组村民，一直常年在外，听家里说我家房子要被修什么路被拆迁，说一个人的人头费只有12万左右还没有安置房屋，像我家就我和我爸两个人的户口，我老婆户口也迁不进来，按照眉山东坡区目前房屋价格这点赔偿金额能解决我们的住宿问题吗？为什么我们这边赔偿这么低？像崇礼那边拆迁一个人的人头费就是23万左右，搬迁费就是12万左右，还有这样那样的费用，算下来一个人可以拿到40万左右的赔偿安置费用、我家这里房子也量了，村上说一个人就只有12万左右，比如我家两个人，就是24万左右，这点钱能在目前眉山哪里买到房屋呢？,3,5.5
